ID,NIST CSF,Question,Type of answer,Answers,Logic,Notes ,Risk Cat,Type of question,Relation,Project ID
1.2,ID.SC-2,Does the supplier have fewer than 10 employees?,Yes/No,"value=10;label=""Yes"" | value=0;label=""No"" | value=10;label=""I don't know""","IF yes, RAISE 10
IF no, no change;",This question targets the stability of the supplier. Using the threshold 10 because of this source: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4424689/,Inherent,score,,
1.3,ID.SC-2,How long has this supplier been in business?,"Range: less than 3 years, less than 5 years, less than 10 years, over 10 years","value=10;label=""< 3 years"" | value=5;label=""3 - 5 years"" | value=2;label=""5 - 10 years"" | value=10;label=""I don't know""","IF < 3, RAISE 10
IF 3-5, RAISE 5
IF 5-10, RAISE 2
IF > 10, no change; 

","Configurable: year ranges

JG will find a basis for these years as we have done for Supplier Question 1.2",Inherent,score,,
1.4,ID.SC-2,How much of the supplier's total business is provided by the acquirer?,"Scale: 1-5 where 5 is ""90%+ and 1 is ""under 5%"" 

Include option ""I don't know""","value=10;label=""< 25%"" | value=5;label=""25 - 50%"" | value=0;label=""50 - 100%"" | value=10;label=""I don't know""","IF < 25% , RAISE 10
IF 25-50%, RAISE 5
IF 50-100, no change; 

","Configurable: Ranges and threshold 

Primarily a factor of control, not stability.",Inherent,score,,
2.1.1,PR.AC-1,Does supplier have access to the acquirer's portal for payment?,"Checkboxes: 1) Portal for Payment, 2) Inventory information, 3) Networks and/or systems, 4) Physical facilities","value=2;label=""Yes"" | value=0;label=""No"" | value=2;label=""I don't know""","IF Portal for payment, RAISE 2
IF Inventory, RAISE 4
IF Networks and/or systems, RAISE 9
IF Physical, RAISE 10;

",Dave's Bubble: Include examples,Inherent,criticality,projects;Project ID,SDA
2.1.2,PR.AC-1,Does supplier have access to the acquirer's inventory information?,"Checkboxes: 1) Portal for Payment, 2) Inventory information, 3) Networks and/or systems, 4) Physical facilities","value=4;label=""Yes"" | value=0;label=""No"" | value=4;label=""I don't know""","IF Portal for payment, RAISE 2
IF Inventory, RAISE 4
IF Networks and/or systems, RAISE 9
IF Physical, RAISE 10;

",Dave's Bubble: Include examples,Inherent,criticality,projects;Project ID,SDA
2.1.3,PR.AC-1,Does supplier have access to the acquirer's networks and/or systems?,"Checkboxes: 1) Portal for Payment, 2) Inventory information, 3) Networks and/or systems, 4) Physical facilities","value=9;label=""Yes"" | value=0;label=""No"" | value=9;label=""I don't know""","IF Portal for payment, RAISE 2
IF Inventory, RAISE 4
IF Networks and/or systems, RAISE 9
IF Physical, RAISE 10;

",Dave's Bubble: Include examples,Inherent,criticality,projects;Project ID,ICTA
2.1.4,PR.AC-1,Does supplier have access to the acquirer's physical facilities?,"Checkboxes: 1) Portal for Payment, 2) Inventory information, 3) Networks and/or systems, 4) Physical facilities","value=10;label=""Yes"" | value=0;label=""No"" | value=10;label=""I don't know""","IF Portal for payment, RAISE 2
IF Inventory, RAISE 4
IF Networks and/or systems, RAISE 9
IF Physical, RAISE 10;

",Dave's Bubble: Include examples,Inherent,criticality,projects;Project ID,PA
2.2,PR.AC-4,"Does supplier have access to acquirer-sensitive information (e.g., intellectual property, financial data, internal processes, etc.)?",Yes/No,"value=10;label=""Yes"" | value=0;label=""No"" | value=10;label=""I don't know""","IF yes, RAISE 10
IF no, no change;

",,Inherent,criticality,projects;Project ID,SDA
2.3,PR.AC-7,"Does the supplier have access to the acquirer's regulated data (e.g., PII, PHI, PCI, etc.)?",Yes/No,"value=10;label=""Yes"" | value=0;label=""No"" | value=10;label=""I don't know""","IF yes, RAISE 10
IF no, no change;

",Include in NIST IR that they may want to customize if they want to separate these questions,Inherent,criticality,projects;Project ID,SDA
3.1,ID.SC-4,Does this supplier follow relevant industry standards?,"Dropdown: N/A, No, self-attestation, self-attestation with proof, self-attestation with third party assessment, conformity assessment","value=10;label=""no"" | value=7;label=""self-attestation"" | value=5;label=""self-attestation with proof"" | value=3;label=""self-attestation with third-party assessment"" | value=0;label=""conformity assessment"" | value=10;label=""I don't know""","IF no, RAISE 10
IF self-attestation, RAISE 7
IF self-attestation with proof, RAISE 5
IF self attestation with third party assessment, RAISE 3
IF conformity assessment, no change
IF N/A, no change",,Residual,score,,
